Symbol,Company Name,Industry,Current Price,Bound,Result Date,Days to Result,Trade Type,Sell @,Sell Premium,Max Profit (₹),Max Profit (%),POP (%),Margin,Upcoming Events,Past Events,News
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,153.1,154,2026-05-21,0.0,CE,179.0,24.83,78198,170.34,100.0,45908.729999999996,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1500.0,6.55,3930,2.27,90.67,172831.8,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,122,2026-05-20,-1.0,CE,145.0,0.61,3782,3.34,90.89,113111.7225,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1510.0,5.92,3555,2.13,91.67,167281.8,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,122,2026-05-20,-1.0,CE,146.0,0.54,3290,2.98,92.73,110405.7225,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1520.0,5.36,3217,1.99,92.36,162013.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1321.6,1016,2026-04-23,-28.0,CE,1460.0,4.74,3197,0.88,91.95,362574.3125,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1530.0,4.88,2925,1.87,92.92,156595.8,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,122,2026-05-20,-1.0,CE,147.0,0.47,2859,2.68,93.04,106531.7225,No upcoming events found.,No upcoming events found.,No news found.
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,2635.6,2357,2026-04-16,-35.0,CE,3160.0,9.34,2801,3.92,99.59,71545.8,No upcoming events found.,No upcoming events found.,No news found.
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,36740.0,33477,2026-05-20,-1.0,CE,40500.0,110.52,2763,2.61,93.01,105888.0,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,218.62,197,2026-04-29,-22.0,CE,242.5,0.76,2706,2.08,92.61,130207.4325,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,96,2026-05-20,-1.0,PE,118.0,0.43,2629,2.34,90.74,112189.7225,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1540.0,4.36,2617,1.73,93.6,150919.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1321.6,1016,2026-04-23,-28.0,CE,1480.0,3.85,2598,0.74,93.6,349493.3125,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,218.62,154,2026-04-29,-22.0,PE,160.0,0.73,2582,3.21,98.94,80471.9325,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,122,2026-05-20,-1.0,CE,148.0,0.42,2567,2.43,93.77,105670.7225,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1550.0,3.89,2332,1.6,94.33,145957.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,218.62,197,2026-04-29,-22.0,CE,245.0,0.62,2218,1.78,93.74,124775.9325,No upcoming events found.,No upcoming events found.,No news found.
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,153.1,154,2026-05-21,0.0,CE,177.0,0.69,2157,4.49,99.96,48082.729999999996,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,910,2026-04-24,-27.0,PE,1160.0,3.59,2152,1.61,97.12,133429.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1321.6,1016,2026-04-23,-28.0,CE,1500.0,3.17,2143,0.64,94.65,336681.5625,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1560.0,3.55,2130,1.48,94.88,143575.8,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,122,2026-05-20,-1.0,CE,149.0,0.35,2121,2.08,95.24,101980.2225,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,96,2026-05-20,-1.0,PE,117.0,0.34,2106,1.95,91.51,108007.2225,No upcoming events found.,No upcoming events found.,No news found.
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,36740.0,33477,2026-05-20,-1.0,CE,41000.0,83.48,2086,2.06,94.49,101063.25,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1570.0,3.45,2070,1.46,95.22,141409.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,218.62,197,2026-04-29,-22.0,CE,255.0,0.58,2041,1.84,96.46,111179.4325,No upcoming events found.,No upcoming events found.,No news found.
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,511.95,390,2026-04-30,-21.0,PE,430.0,1.74,1954,3.49,99.26,55932.5,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,218.62,197,2026-04-29,-22.0,CE,247.5,0.55,1952,1.63,94.63,119522.4325,No upcoming events found.,No upcoming events found.,No news found.
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,2695.1,1902,2026-04-30,-21.0,CE,2980.0,6.15,1900,1.37,93.89,138810.325,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,910,2026-04-24,-27.0,PE,1220.0,3.09,1852,1.25,93.53,148639.8,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,96,2026-05-20,-1.0,PE,116.0,0.3,1829,1.73,93.05,105608.7225,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.6,122,2026-05-20,-1.0,CE,150.0,0.29,1798,1.78,95.27,100811.7225,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,218.62,197,2026-04-29,-22.0,CE,250.0,0.51,1792,1.52,95.06,117960.4325,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1321.6,1016,2026-04-23,-28.0,CE,1520.0,2.62,1771,0.55,95.79,323701.3125,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,218.62,154,2026-04-29,-22.0,PE,195.0,0.49,1757,1.4,92.47,125272.9325,No upcoming events found.,No upcoming events found.,No news found.
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,2695.1,1902,2026-04-30,-21.0,CE,3000.0,5.65,1745,1.31,94.14,133356.675,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1321.6,1016,2026-04-23,-28.0,CE,1540.0,2.29,1544,0.49,96.52,316188.5625,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,910,2026-04-24,-27.0,PE,1210.0,2.56,1537,1.06,94.62,144703.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,957,2026-04-24,-27.0,CE,1600.0,2.49,1492,1.11,96.48,134677.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1360.5,910,2026-04-24,-27.0,PE,1190.0,2.48,1485,1.06,95.18,140341.8,No upcoming events found.,No upcoming events found.,No news found.
